school_id,school_name,name_variants,district_name,grades_served,urbanicity,enrollment_2019,enrollment_2020,enrollment_2021,enrollment_2022,enrollment_2023,enrollment_2024,lunch_participation_rate_2019,lunch_participation_rate_2020,lunch_participation_rate_2021,lunch_participation_rate_2022,lunch_participation_rate_2023,lunch_participation_rate_2024,healthy_meal_score_2019,healthy_meal_score_2020,healthy_meal_score_2021,healthy_meal_score_2022,healthy_meal_score_2023,healthy_meal_score_2024
S035,Adams Community School,Adams Community School|Adams Community School School,Valley Metro Schools,K-8,Urban,607,606,590,605,610,623,53.9,53.4,53.4,59.6,58.8,59.0,60.6,62.4,64.2,67.9,71.3,72.0
S036,Jefferson STEM High,Jefferson STEM HS|Jefferson STEM High,Valley Metro Schools,9-12,Urban,893,866,857,884,893,900,46.9,47.0,45.7,50.8,50.1,51.3,48.2,51.4,50.7,55.7,57.4,59.5
S037,Blue Harbor Elementary,Blue Harbor Elem.|Blue Harbor ES,Harbor Unified,K-5,Urban,416,414,410,417,426,435,59.9,60.3,59.5,63.1,63.0,63.0,67.8,68.9,69.2,72.4,73.9,73.3
S038,Marina Middle School,Marina MS|Marina Mid.,Harbor Unified,6-8,Urban,695,684,687,716,747,756,52.3,52.2,54.6,59.2,60.1,61.1,58.7,61.1,61.7,68.7,72.5,71.3
S039,Hilltop Elementary,Hilltop Elem.|Hilltop ES,Summit Ridge SD,K-5,Rural,263,271,257,264,272,276,62.6,62.1,63.1,62.8,63.4,63.4,64.5,65.6,66.0,70.1,68.4,70.2
S040,Summit Ridge High,Summit Ridge HS|Summit Ridge High,Summit Ridge SD,9-12,Rural,707,692,684,707,708,724,47.5,44.1,43.7,46.4,46.7,47.4,49.5,50.5,50.6,51.5,52.2,52.3
S041,Cottonwood K-8,Cottonwood K8|Cottonwood School,Desert Valley Public,K-8,Suburban,595,581,576,583,588,589,60.2,59.3,61.3,65.6,65.3,69.1,62.1,63.0,65.5,71.4,71.9,77.3
S042,Mesa Verde Middle,Mesa Verde MS|Mesa Verde Mid.,Desert Valley Public,6-8,Suburban,592,575,575,592,598,595,54.2,52.9,52.6,55.7,57.1,58.4,57.8,60.7,62.1,67.7,65.5,70.6
S043,Hamilton Elementary,Hamilton Elem.|Hamilton ES,Central Plains USD,K-5,Rural,316,319,330,331,339,344,60.4,59.6,59.4,60.1,62.9,62.7,57.3,60.1,63.2,63.0,62.8,64.0
S044,Roosevelt High School,Roosevelt HS|Roosevelt High,Central Plains USD,9-12,Rural,776,746,750,787,805,805,44.0,46.3,45.6,47.8,51.5,50.0,49.4,52.0,55.5,55.0,56.5,59.5
S045,Lakeshore Elementary,Lakeshore Elem.|Lakeshore ES,North Shore Schools,K-5,Suburban,360,353,350,354,357,370,63.1,60.1,60.7,60.2,64.5,64.3,63.0,64.3,65.1,68.2,70.9,70.5
S046,North Shore Middle,North Shore MS|North Shore Mid.,North Shore Schools,6-8,Suburban,650,627,616,621,642,645,54.9,51.3,55.8,58.2,59.3,60.5,62.1,60.5,64.3,67.7,71.6,72.8
S047,Camino Real Academy,Camino Real Academy|Camino Real School,Camino USD,K-8,Urban,590,579,569,600,597,608,58.2,59.0,58.3,58.9,62.3,61.9,63.1,61.9,64.9,63.5,68.8,67.1
S048,Esperanza High School,Esperanza HS|Esperanza High,Camino USD,9-12,Urban,849,830,826,846,861,869,47.6,44.2,46.3,48.8,51.3,53.9,52.3,51.8,50.9,57.1,59.9,64.3
S049,Sycamore Elementary,Sycamore Elem.|Sycamore ES,Westfield Public,K-5,Suburban,430,438,439,441,451,458,65.7,63.9,62.8,64.4,65.4,67.1,61.2,61.7,63.7,63.9,67.5,66.9
S050,Westfield Middle,Westfield MS|Westfield Mid.,Westfield Public,6-8,Suburban,598,593,583,610,609,613,55.2,53.3,55.3,62.0,61.2,58.6,55.2,58.7,59.2,63.5,66.9,65.4
S051,Golden Gate Elementary,Golden Gate Elem.|Golden Gate ES,Metro Bay Unified,K-5,Urban,446,450,450,450,467,469,60.1,60.0,60.4,61.2,64.6,66.7,63.5,68.4,70.7,71.1,74.1,71.5
S052,Mission Bay High,Mission Bay HS|Mission Bay High,Metro Bay Unified,9-12,Urban,801,785,769,814,806,804,44.8,43.9,45.7,47.0,48.2,50.0,47.8,48.6,52.3,55.6,57.4,56.0
S053,Valley Oak K-8,Valley Oak K8|Valley Oak School,Valley Oak SD,K-8,Rural,472,461,462,485,486,497,55.2,53.0,54.6,60.0,62.2,61.2,58.2,61.6,61.1,64.0,69.8,71.2
S054,Oak Meadow High,Oak Meadow HS|Oak Meadow High,Valley Oak SD,9-12,Rural,754,744,747,784,785,798,42.6,41.1,41.9,45.2,46.3,48.1,47.7,51.0,52.0,51.9,54.4,55.9
S055,Hawthorne Elementary,Hawthorne Elem.|Hawthorne ES,East River Schools,K-5,Suburban,351,352,349,365,363,370,64.1,64.6,62.4,65.6,64.0,65.8,67.4,65.6,65.8,70.8,72.3,73.2
S056,East River Middle,East River MS|East River Mid.,East River Schools,6-8,Suburban,642,623,595,633,624,634,54.1,56.2,55.4,58.2,57.6,57.6,59.3,63.4,64.1,64.1,66.4,63.8
S057,Cabrillo Science Academy,Cabrillo Science Academy|Cabrillo Science School,South Coast Unified,K-8,Urban,655,663,654,690,694,701,56.1,54.0,56.8,57.0,58.0,55.6,59.8,59.7,61.5,62.2,63.9,63.9
S058,Pacific View High,Pacific View HS|Pacific View High,South Coast Unified,9-12,Urban,832,815,811,844,854,863,44.0,44.6,44.9,47.3,46.5,48.4,50.6,50.6,51.2,57.1,59.0,60.4
S059,Liberty Elementary,Liberty Elem.|Liberty ES,High Desert USD,K-5,Rural,335,330,336,341,356,348,57.8,56.6,59.3,60.0,63.9,66.3,63.3,59.4,63.4,67.1,71.4,72.2
S060,High Desert High,High Desert HS|High Desert High,High Desert USD,9-12,Rural,678,650,651,674,674,672,45.7,45.2,46.1,48.8,48.8,49.7,45.3,48.3,48.8,50.9,53.3,54.9
